,2018-AVG,Max,Min,2019-AVG,Max,Min,2020-AVG,Max,Min,2021-AVG,Max,Min,2022-AVG,Max,Min
0,76.8,80.0,75.0,67.6,73.0,62.5,66.69642857142857,68.0,64.0,62.87166666666666,64.25,61.8,64.60322580645159,65.65,63.1
1,75.5909090909091,77.0,75.0,66.53846153846153,68.5,65.0,66.90714285714286,68.0,64.0,62.998214285714276,64.1,61.9,65.00000000000001,66.4,63.3
2,75.45454545454545,77.0,74.0,66.58695652173913,68.0,66.0,66.765,69.0,64.0,61.877419354838715,63.0,60.95,65.02777777777776,66.1,64.0
3,75.0,75.0,75.0,66.55263157894737,68.0,65.0,65.35714285714286,67.0,64.0,61.489999999999995,63.35,60.15,65.09166666666667,66.2,63.5
4,74.88888888888889,77.0,73.0,66.4,68.0,65.0,63.17741935483871,64.0,62.0,62.64266666666667,64.0,61.35,65.34464285714287,66.25,64.5
5,72.6470588235294,75.0,70.5,66.25,68.0,65.0,62.24,64.0,61.5,62.96206896551724,65.35,62.0,66.01086956521738,67.2,64.9
6,71.8,73.0,71.0,66.625,68.0,65.0,62.03333333333333,63.0,61.0,63.55208333333334,65.7,61.75,65.80517241379313,66.5,64.95
7,71.3125,74.0,70.0,66.36363636363636,67.0,66.0,62.32142857142857,64.0,61.0,64.39821428571427,66.05,63.1,66.27058823529413,68.4,65.25
8,71.07142857142857,72.0,70.0,66.3125,67.0,65.0,63.48076923076923,66.0,62.0,64.17599999999999,66.1,63.2,66.84166666666665,68.3,65.45
9,70.33333333333333,72.0,69.0,65.08823529411765,66.0,64.0,0.0,0.0,0.0,63.70178571428572,65.6,62.4,65.35967741935485,67.4,63.65
10,71.18181818181819,72.0,70.0,64.75,66.0,63.0,0.0,0.0,0.0,64.07666666666667,65.05,63.2,64.916,66.2,63.45
11,71.6470588235294,74.0,70.0,65.71739130434783,67.0,64.5,63.477777777777774,64.7,62.7,63.89259259259258,66.3,62.9,64.89642857142857,67.7,63.2
