Month,Day,2018,2019,2020,2021,2022
January,1,78,73,,63.35,64.85
January,2,80,72,67,62.85,64.7
January,3,77,72,67,63.8,64.25
January,4,77,70,66,63.7,64.45
January,5,76,69.5,66,63.3,63.75
January,6,78,69,67,62.4,63.75
January,7,78,68,68,64.25,63.4
January,8,78,69,66,62.85,63.1
January,9,77,71.5,66,62.8,64.55
January,10,77,70,66,64.1,64.1
January,11,77,69,65.5,63.05,64.65
January,12,77,70,,62.35,64.25
January,13,,,67,62.4,64.65
January,14,77,69,67,62.1,64.65
January,15,78,71,67,61.8,65.4
January,16,76,70,66,62.3,65.65
January,17,77,69.5,67,63.35,64.85
January,18,76,68,68,62.75,64.55
January,19,76,67.5,,62.9,64.85
January,20,77,66,68,62.25,64.85
January,21,76,65,67,62.3,65.4
January,22,77,65,67.5,62.2,64.35
January,23,76,64.5,67,63.2,65.05
January,24,76,64,67,,65.3
January,25,77,63.5,67,63.45,65
January,26,75,63,68,63.05,65.05
January,27,77,62.5,68,63.6,64.35
January,28,77,63,67,62.55,65.1
January,29,76,64,65.5,62.2,64.75
January,30,75,64.5,65,62.15,64.55
January,31,75,65,64,62.8,64.55
February,1,75,67,64,64.05,64.3
February,2,75,67,64.5,63.95,64.25
February,3,76,68,66.5,64.1,63.3
February,4,77,68,66,64,64.1
February,5,76,68,66,63.9,64.1
February,6,75,68.5,66.5,63.05,65.2
February,7,76,67,67,63.45,
February,8,76,67,67,64.05,
February,9,75,67.5,67,63.1,
February,10,76,67,66.5,62.8,
February,11,75,68,68,63.35,
February,12,76,66,67,62.8,
February,13,76,65.5,67.5,62.1,
February,14,75,67,66,62.4,65.85
February,15,76,66,67,62.8,65.6
February,16,76,65,67,62.4,65.25
February,17,76,66,68,62.85,65.6
February,18,,65.5,68,62.6,65.9
February,19,,65.5,67,63.5,
February,20,75,65.5,67,62.1,65.45
February,21,76,65.5,68,63,66.4
February,22,75,,67,63.3,65.6
February,23,75,,68,62.5,65
February,24,75,66,66.9,62.15,65.15
February,25,,67,67,62,64.55
February,26,,65.5,68,61.9,64.4
February,27,,65,68,62.55,65.25
February,28,,66,67,63.2,64.75
March,1,,66,,63,
March,2,,67,69,61.45,64.45
March,3,,66,67,62.25,64.35
March,4,76,66,65,62.15,64
March,5,75,66,64,61.9,64.7
March,6,75,66,64,62,64.8
March,7,75,67,65,61.85,65.55
March,8,,,,61.6,65.15
March,9,,,68,62.2,65
March,10,76,,,62.25,64.85
March,11,77,,,62.05,65
March,12,75,66,67,62.5,64.8
March,13,75,,,62.45,65.6
March,14,,67,,61.95,65.4
March,15,,67,,62.25,64.5
March,16,74,67,,63,64.65
March,17,,67,67,61.3,65.6
March,18,,68,,61.1,65.05
